,level_0,index,Gender,Age,Married,NumberofDependents,City,ZipCode,Latitude,Longitude,NumberofReferrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,TotalRevenue,CustomerStatus,ChurnCategory
223,223,225,Female,46,No,0,San Mateo,94404,37.556094,-122.272437,0,15,No Offer,Yes,2.74,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Mailed Check,361.55,Stayed,
224,224,226,Female,33,Yes,0,San Diego,92117,32.825086,-117.199424,1,58,No Offer,Yes,3.51,Yes,Yes,Fiber Optic,28.0,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,6188.98,Churned,Competitor
225,225,227,Male,60,Yes,3,Los Angeles,90034,34.030578,-118.399613,10,23,No Offer,Yes,34.04,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,1209.57,Stayed,
226,226,228,Female,70,Yes,0,San Francisco,94130,37.820894,-122.369725,1,31,Offer C,Yes,47.95,No,Yes,Fiber Optic,21.0,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,4397.75,Churned,Other
227,227,229,Male,54,Yes,0,Santa Cruz,95062,36.974575,-121.991149,1,11,Offer D,Yes,12.95,No,Yes,Cable,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,664.35,Stayed,
228,228,230,Female,80,No,0,Winchester,92596,33.657433,-117.04254,0,56,No Offer,Yes,17.33,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,6676.78,Stayed,
229,229,231,Female,41,No,3,El Cajon,92021,32.832706,-116.873258,0,25,Offer C,Yes,12.87,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,793.45,Stayed,
230,230,232,Female,38,No,0,Sherman Oaks,91403,34.147149,-118.463365,0,68,Offer A,No,0.0,No PhoneService,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,4669.6,Stayed,
231,231,233,Female,48,No,0,Norco,92860,33.925833,-117.559639,0,40,No Offer,Yes,26.03,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,1871.45,Stayed,
232,232,234,Male,46,No,0,Thornton,95686,38.157794,-121.520223,0,36,No Offer,Yes,24.66,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3954.96,Churned,Attitude
233,233,235,Male,22,No,0,Lake Hughes,93532,34.659579,-118.584212,0,32,Offer C,Yes,27.69,Yes,Yes,Fiber Optic,73.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,4318.98,Churned,Attitude
234,234,236,Male,28,Yes,3,Paramount,90723,33.897122,-118.164432,10,71,Offer A,Yes,10.11,Yes,Yes,DSL,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,6981.61,Stayed,
235,235,237,Male,58,Yes,0,San Juan Capistrano,92675,33.521447,-117.602555,2,17,Offer D,Yes,10.11,Yes,Yes,Fiber Optic,2.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1914.37,Stayed,
236,236,238,Male,55,Yes,0,Copperopolis,95228,37.943954,-120.67108,6,18,Offer D,Yes,31.79,No,Yes,Fiber Optic,19.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2040.97,Stayed,
237,237,239,Female,52,No,0,Covina,91724,34.08111,-117.853935,0,37,No Offer,Yes,11.73,Yes,Yes,Fiber Optic,30.0,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,3816.31,Stayed,
238,238,240,Male,42,No,0,Colusa,95932,39.273096,-122.050763,0,2,No Offer,Yes,44.34,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,135.03,Stayed,
239,239,241,Female,56,Yes,2,Cypress,90630,33.818477,-118.038307,6,28,Offer C,Yes,12.94,No,Yes,Fiber Optic,24.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,2354.52,Stayed,
240,240,242,Male,34,No,0,Sacramento,95814,38.584505,-121.491956,0,9,Offer E,No,0.0,No PhoneService,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,373.0,Stayed,
241,241,243,Female,63,No,0,Lancaster,93534,34.727529,-118.153098,0,1,Offer E,Yes,38.33,No,Yes,DSL,24.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,138.48,Stayed,
242,242,244,Male,59,Yes,0,Orange,92867,33.81859,-117.821288,1,65,No Offer,Yes,23.46,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,2939.35,Stayed,
243,243,245,Female,62,No,0,Gonzales,93926,36.52588,-121.396719,0,3,No Offer,Yes,15.59,No,Yes,Cable,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,169.47,Stayed,
244,244,246,Female,31,No,0,Los Angeles,90045,33.954017,-118.402447,0,1,Offer E,No,0.0,No PhoneService,Yes,DSL,8.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,Churned,Other
245,245,247,Male,24,Yes,0,San Ysidro,92173,32.555828,-117.040073,3,36,Offer C,Yes,41.33,No,Yes,Fiber Optic,41.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4837.37,Stayed,
246,246,248,Male,21,No,0,Novato,94949,38.067204,-122.524004,0,23,No Offer,Yes,38.69,Yes,Yes,Cable,69.0,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2828.34,Churned,Competitor
247,247,249,Male,21,Yes,3,Gilroy,95020,37.03889,-121.528955,9,22,Offer D,Yes,42.58,No,Yes,DSL,82.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,2208.56,Stayed,
248,248,250,Female,56,Yes,0,Oak Park,91377,34.19225,-118.776874,1,72,No Offer,Yes,4.56,Yes,Yes,Fiber Optic,18.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,8275.39,Stayed,
249,249,251,Female,31,Yes,0,South San Francisco,94080,37.654436,-122.426468,7,17,No Offer,Yes,17.91,Yes,Yes,Fiber Optic,9.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,1765.12,Churned,Other
250,250,252,Female,20,No,0,Vernalis,95385,37.609095,-121.263381,0,3,No Offer,Yes,10.6,No,Yes,Fiber Optic,73.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,304.0,Churned,Competitor
251,251,253,Male,31,Yes,0,San Jose,95117,37.311088,-121.961786,1,58,Offer B,Yes,17.22,No,Yes,Cable,21.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,4562.56,Churned,Dissatisfaction
252,252,254,Male,60,Yes,0,Sunnyvale,94089,37.421633,-122.009613,1,67,No Offer,Yes,45.25,No,Yes,DSL,18.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,8430.35,Stayed,
253,253,255,Male,72,No,0,Newport Beach,92660,33.634626,-117.874882,0,34,No Offer,Yes,35.0,No,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,4533.15,Stayed,
254,254,256,Male,56,No,0,San Francisco,94133,37.802071,-122.411004,0,10,No Offer,Yes,4.42,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,242.9,Stayed,
255,255,257,Female,42,No,0,Stanford,94305,37.424342,-122.165641,0,69,Offer A,Yes,18.47,Yes,Yes,DSL,28.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,7171.83,Stayed,
256,256,258,Male,38,No,0,Los Angeles,90041,34.137412,-118.207607,0,40,No Offer,No,0.0,No PhoneService,Yes,Cable,19.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,2511.55,Stayed,
257,257,259,Male,64,No,0,Turlock,95380,37.474396,-120.875917,0,20,Offer D,Yes,12.6,No,Yes,DSL,29.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,1650.6,Stayed,
258,258,260,Female,61,Yes,1,Beverly Hills,90210,34.099891,-118.414338,9,46,No Offer,Yes,47.5,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,3152.85,Stayed,
259,259,261,Female,28,Yes,0,Riverside,92503,33.890046,-117.455583,1,2,No Offer,Yes,9.79,No,Yes,Fiber Optic,41.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,158.98,Churned,Attitude
260,260,262,Female,76,Yes,2,Los Alamitos,90720,33.79499,-118.065591,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,85.73,Churned,Other
261,261,263,Female,44,Yes,0,Fresno,93710,36.822715,-119.761826,7,72,No Offer,Yes,6.58,Yes,Yes,Fiber Optic,7.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,8063.56,Stayed,
262,262,264,Male,28,Yes,3,Escondido,92025,33.081478,-117.033814,0,70,No Offer,Yes,1.22,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,1875.55,Stayed,
263,263,265,Female,34,No,0,Gardena,90247,33.890853,-118.297967,0,2,No Offer,Yes,49.91,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,144.22,Stayed,
264,264,266,Male,25,No,3,Encinitas,92024,33.054579,-117.25665,0,23,Offer D,Yes,1.58,No,Yes,DSL,47.0,No,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1320.54,Stayed,
265,265,267,Male,58,Yes,0,Sacramento,95829,38.486502,-121.334051,4,36,Offer C,Yes,40.58,Yes,Yes,Fiber Optic,12.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4935.08,Stayed,
266,266,268,Male,70,Yes,0,South Dos Palos,93665,36.959731,-120.653519,0,59,No Offer,Yes,10.78,Yes,Yes,Fiber Optic,15.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,6202.64,Churned,Price
267,267,269,Male,24,No,0,Orick,95555,41.336354,-124.044354,0,67,Offer A,Yes,47.31,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,4600.72,Stayed,
268,268,270,Male,22,Yes,3,San Jose,95118,37.255479,-121.889838,4,72,No Offer,Yes,8.33,Yes,Yes,Fiber Optic,59.0,Yes,No,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,8152.01,Stayed,
269,269,271,Female,22,No,0,El Monte,91732,34.074492,-118.01462,0,37,No Offer,Yes,24.04,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,4434.83,Churned,Dissatisfaction
270,270,272,Female,36,Yes,1,Spreckels,93962,36.624641,-121.647195,4,72,Offer A,Yes,20.56,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,3189.42,Stayed,
271,271,273,Male,23,Yes,0,Beverly Hills,90212,34.062095,-118.401508,10,72,Offer A,Yes,27.97,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,3435.74,Stayed,
272,272,274,Male,21,No,2,La Habra,90631,33.940619,-117.9513,0,3,Offer E,Yes,14.6,Yes,Yes,Fiber Optic,71.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,264.61,Churned,Dissatisfaction
273,273,275,Female,75,Yes,0,Visalia,93277,36.303793,-119.375646,0,54,Offer B,Yes,33.49,Yes,Yes,Fiber Optic,8.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,7181.56,Churned,Price
274,274,276,Male,59,Yes,0,San Francisco,94114,37.758085,-122.434801,1,60,No Offer,Yes,35.22,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,7856.1,Churned,Dissatisfaction
275,275,277,Female,35,Yes,0,Whittier,90602,33.972119,-118.020188,8,58,Offer B,Yes,37.95,Yes,Yes,Fiber Optic,18.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,8727.75,Stayed,
276,276,278,Female,64,Yes,0,Long Beach,90822,33.778436,-118.118648,1,31,Offer C,Yes,12.03,No,Yes,Fiber Optic,9.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3035.71,Stayed,
277,277,279,Female,62,No,0,Stockton,95215,37.946282,-121.139499,0,3,No Offer,Yes,20.1,Yes,Yes,DSL,29.0,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,300.8,Stayed,
278,278,280,Male,20,No,0,Essex,92332,34.9436,-115.287901,0,55,No Offer,Yes,12.28,No,Yes,DSL,48.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,3851.25,Stayed,
279,279,281,Female,58,No,0,Los Gatos,95030,37.222842,-121.988727,0,1,Offer E,Yes,26.53,No,Yes,DSL,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.93,Churned,Attitude
280,280,282,Male,44,Yes,0,Grass Valley,95949,39.099204,-121.137962,1,49,Offer B,Yes,14.21,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,4994.24,Stayed,
281,281,283,Male,40,No,0,San Diego,92117,32.825086,-117.199424,0,8,No Offer,No,0.0,No PhoneService,Yes,DSL,16.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,215.2,Churned,Attitude
282,282,284,Female,72,No,0,Visalia,93291,36.391777,-119.372842,0,39,No Offer,Yes,10.03,Yes,Yes,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,4427.17,Stayed,
283,283,285,Male,43,Yes,0,San Jose,95112,37.343827,-121.883119,9,66,Offer A,Yes,37.71,Yes,Yes,DSL,15.0,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,6917.31,Stayed,
284,284,286,Female,23,Yes,0,Fresno,93722,36.78979,-119.929894,7,15,No Offer,Yes,34.63,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,815.4,Stayed,
285,285,287,Female,34,Yes,0,San Diego,92117,32.825086,-117.199424,1,51,Offer B,Yes,47.72,Yes,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,7511.27,Stayed,
286,286,288,Male,74,No,0,Snelling,95369,37.521708,-120.426843,0,9,No Offer,Yes,7.11,No,Yes,DSL,12.0,No,No,No,Yes,No,No,No,Yes,Two Year,No,Mailed Check,511.89,Stayed,
287,287,289,Female,54,No,0,Encino,91316,34.150354,-118.518292,0,1,Offer E,Yes,15.51,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,36.41,Churned,Dissatisfaction
288,288,290,Male,29,No,0,Bellflower,90706,33.887676,-118.127289,0,25,Offer C,Yes,3.58,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Withdrawal,605.8,Stayed,
289,289,291,Male,56,Yes,0,Sonora,95370,37.982716,-120.343732,9,22,No Offer,Yes,48.68,No,Yes,Fiber Optic,18.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2921.61,Stayed,
290,290,292,Male,40,No,0,Highland,92346,34.129677,-117.154277,0,15,No Offer,Yes,11.75,Yes,Yes,DSL,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,925.5,Stayed,
291,291,293,Female,37,Yes,0,Novato,94949,38.067204,-122.524004,1,28,No Offer,Yes,18.31,No,Yes,Fiber Optic,13.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,3111.63,Churned,Dissatisfaction
292,292,294,Male,47,No,0,Temecula,92592,33.507255,-117.029473,0,3,No Offer,Yes,5.39,No,Yes,Fiber Optic,10.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,253.82,Stayed,
293,293,295,Female,34,Yes,0,Los Angeles,90071,34.052917,-118.255178,3,47,Offer B,Yes,38.15,Yes,Yes,Fiber Optic,14.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,6500.15,Stayed,
294,294,296,Female,21,No,0,Long Beach,90805,33.864622,-118.179626,0,67,Offer A,Yes,8.71,Yes,Yes,DSL,41.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed Check,6296.46,Stayed,
295,295,297,Female,78,No,0,Escondido,92027,33.141265,-116.967221,0,18,Offer D,Yes,21.09,No,Yes,Fiber Optic,18.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1694.22,Stayed,
296,296,298,Male,47,Yes,0,Herlong,96113,40.198234,-120.18089,1,62,Offer B,Yes,33.7,No,Yes,Cable,15.0,No,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,5842.6,Stayed,
297,297,299,Female,51,No,0,Petaluma,94954,38.235021,-122.557332,0,41,No Offer,Yes,6.16,Yes,Yes,DSL,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,3516.46,Stayed,
298,298,300,Female,64,No,0,Mojave,93501,35.097323,-118.171288,0,44,Offer B,Yes,18.42,Yes,Yes,DSL,22.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,2949.58,Stayed,
299,299,301,Female,59,No,0,Callahan,96014,41.388397,-122.794636,0,53,No Offer,Yes,33.88,No,Yes,Fiber Optic,6.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,6838.39,Stayed,
300,300,302,Male,44,Yes,0,Bodega,94922,38.343282,-122.9755,4,48,No Offer,Yes,33.06,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,2622.88,Stayed,
301,301,303,Female,79,Yes,0,Denair,95316,37.524721,-120.757977,2,54,Offer B,Yes,43.71,Yes,Yes,Fiber Optic,12.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,8791.39,Stayed,
302,302,304,Female,28,Yes,0,Wrightwood,92397,34.358321,-117.618263,3,48,No Offer,No,0.0,No PhoneService,Yes,Cable,58.0,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2285.0,Churned,Price
303,303,305,Male,39,No,0,Monterey,93940,36.362741,-121.869685,0,24,Offer C,Yes,25.68,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3021.17,Stayed,
304,304,306,Male,32,No,0,Palo Alto,94301,37.444314,-122.149996,0,33,Offer C,Yes,34.85,No,Yes,Fiber Optic,27.0,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,3801.15,Stayed,
305,305,307,Male,58,Yes,0,Jamestown,95327,37.84771,-120.486589,1,66,No Offer,Yes,42.85,Yes,Yes,DSL,21.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,8366.45,Stayed,
306,306,308,Female,61,Yes,2,Campbell,95008,37.279689,-121.954567,3,3,No Offer,Yes,1.67,No,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,171.41,Stayed,
307,307,309,Female,58,No,0,Alderpoint,95511,40.166028,-123.584144,0,13,Offer D,No,0.0,No PhoneService,Yes,Cable,13.0,No,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,550.4,Stayed,
308,308,310,Male,19,Yes,0,Garden Grove,92843,33.764018,-117.931507,1,63,No Offer,Yes,13.45,Yes,Yes,DSL,69.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,6282.35,Stayed,
309,309,311,Female,45,Yes,0,Oak Run,96069,40.689243,-122.037023,0,23,No Offer,Yes,38.81,No,Yes,Fiber Optic,28.0,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2792.88,Churned,Attitude
310,310,312,Male,26,No,1,Madison,95653,38.674276,-121.961866,0,52,No Offer,Yes,23.12,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,2536.74,Stayed,
311,311,313,Male,23,No,0,Van Nuys,91406,34.195685,-118.490752,0,3,Offer E,Yes,16.39,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,116.27,Stayed,
312,312,314,Male,23,No,0,Escondido,92026,33.21846,-117.116916,0,10,No Offer,Yes,30.3,No,Yes,DSL,73.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,836.25,Stayed,
313,313,315,Female,39,Yes,2,Cedarville,96104,41.505916,-120.152505,10,72,No Offer,Yes,14.17,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Withdrawal,2481.09,Stayed,
314,314,316,Male,62,No,0,Lomita,90717,33.794209,-118.317354,0,29,Offer C,Yes,48.2,No,Yes,Fiber Optic,19.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,4204.9,Stayed,
315,315,317,Female,70,Yes,0,Kelseyville,95451,38.93496,-122.792243,8,62,Offer B,Yes,22.74,Yes,Yes,Fiber Optic,18.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,7722.78,Stayed,
316,316,318,Male,34,Yes,0,Orangevale,95662,38.689174,-121.218435,1,41,No Offer,Yes,15.91,Yes,Yes,DSL,29.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,3653.51,Churned,Competitor
317,317,319,Male,47,No,0,Pinecrest,95364,38.224869,-119.755729,0,43,Offer B,Yes,49.13,Yes,Yes,Fiber Optic,25.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,5478.44,Churned,Price
318,318,320,Female,63,No,1,San Clemente,92672,33.429488,-117.609432,0,26,Offer C,Yes,2.48,No,Yes,Fiber Optic,19.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,2779.78,Stayed,
319,319,321,Female,58,Yes,0,Beale Afb,95903,39.125311,-121.392283,9,19,Offer D,Yes,10.68,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1945.97,Stayed,
320,320,322,Female,42,Yes,3,Sacramento,95835,38.685069,-121.543709,8,72,No Offer,Yes,47.6,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,5161.94,Stayed,
321,321,323,Female,74,No,0,Greenville,95947,40.160386,-120.835428,0,45,Offer B,Yes,34.12,Yes,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,6270.75,Stayed,
322,322,324,Male,43,No,0,Fort Bragg,95437,39.455555,-123.683979,0,32,No Offer,Yes,15.52,No,Yes,DSL,12.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,2507.59,Stayed,
323,323,325,Male,23,No,0,Petaluma,94954,38.235021,-122.557332,0,41,No Offer,Yes,41.21,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Withdrawal,2686.06,Stayed,
324,324,326,Male,52,Yes,2,Mecca,92254,33.543835,-115.993906,4,65,No Offer,Yes,36.5,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,4087.6,Stayed,
325,325,327,Male,37,Yes,1,Torrance,90504,33.867257,-118.330794,0,55,No Offer,Yes,49.06,Yes,Yes,Fiber Optic,27.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,7937.2,Churned,Price
326,326,328,Male,48,Yes,2,Victorville,92394,34.567058,-117.362329,2,11,Offer D,Yes,40.76,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,674.11,Stayed,
327,327,329,Female,58,No,0,Poway,92064,32.984395,-117.013454,0,49,Offer B,Yes,7.51,No,Yes,DSL,13.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,4089.89,Stayed,
